"reviewText"	"summary"	"review"
"This is super easy to use when your learning to apply lashes. Just watch the amount you use because it works really well. Very happy and will re-order!"	"Amazing"	"good"
"I usually like Olay products, but this body wash gave me a rash.  I have lupus, and my skin is really sensitive, so it could just be me.However, there are a few controversial ingredients in this body wash that you may also want to avoid if you've got allergies or eczema or any such icky skin things.  The body wash is full of sulfates.  Those don't bother me, but they do bother some people.  It's also got both petrolatum, which does cause problems for me, and mineral oil, which I can't use.I should have checked the label before I used it.All that said, it left my skin soft and smelling nice.  I would use it if I could."	"Not Great for Sensitive Skin"	"neutral"
"Works well but leaks easily. One came without the spill seal and one came with the seal damaged, but even the one that came with the seal intact will lose its contents if laid on it's side."	"Good spray, bad watertightness"	"bad"
"This set is not only great for travel,  I originally ordered this set to try out the four products it contains.  I was so impressed by the results that I later ordered the regular size of all four products."	"Great for travel"	"good"
"This product makes your hairstyle shiny and bouncy BUT I have sensitive skin and it made me itch a little.If you can find a local salon that uses this haircare line and you have sensitive skin, I recommend having your stylist use it on you or request a sample to test at home on your skin first.I don't think it would work for \"high\" or really firm hairstyles but it seems to work well for my wavy, soft shoulder-length styles.  I still use it occasionally in spite of the mild itchy reaction I get.This review & product could go either way for you- caveat emptor !  \"Let the buyer beware\"...  it might not be for you or it might be the best thing you've ever tried!On a SIDE NOTE - I HIGHLY recommend the Shampoo and Leave-in Treatments in this same line those are FABULOUS even with my crazy skin & scalp!Four Seasons Beauty Boutique through the Amazon shopping website seems to have the best prices on this product that I have found and great customer service.Enjoy!Lisa"	"This one bothered my sensitive scalp A LITTLE"	"neutral"
"I have naturally curly hair. My hair is not dry or oily. (I use products for \"normal\" or \"thick\" hair types.) My hair is thick and long. This means that I use between 2 and 3 bottles of conditioner for every 1 bottle of shampoo. When I received a bottle of Nexxus Hydralight Weighless Moisture Leave-In Conditioning Foam I was excited. I thought this would replace all those bottles of conditioner. However, no matter how I use this product I am disappointed.\"Moisture\" must be another word for greasy or oily. I tried using this product after shampooing, with my hair still wet and no bottle conditioner. I tried after shampooing and using conditioner. I even tried on already dry hair. All gave the same result: flattened, greasy hair. Each time, I had to shampoo twice to get all the grease out.This product does nothing about tangling. But then again, the bottle never claimed to help with snares.Of all the products I've tried, Pantene is still the best conditioner out there.Reviewed by Detra Fitch of Huntress Reviews."	"I tried using this product on my hair every way that I could think of."	"bad"
"I have always liked this conditioner, leaves hair soft, not always soft enough for me (since I have pretty dry hair) but if you have only slightly dried hair then this would be a Godsend for you...plus at its great price, its a great conditioner to have on hand :) plus the smell is GREAT !"	"A great conditioner, goes in my favorites list"	"good"
"this for like one month and dont see any special change in my skinI dont know if take more the one month to see good changes , dontfeel any side effects , come on time"	"I use"	"neutral"
"Now I will admit I am new to wearing lipstick.  I've never liked the feeling on my lips and because I have very full lips I've always just gone au natural in the past.  I do like the color.  I do like it's opacity.  It feels dry so I'd definitely recommend using a gloss or a balm underneath.  My biggest gripe with the lipstick is the smell.  Being so close to the nose it's my opinion it should be odorless if at all possible.  I do not think it smells like vanilla. I'm not sure what it smells like but it's not good nor bad ...just weird. I am intrigued with lipstick but I'm probably not going to buy lime crime products again."	"Undecided"	"bad"
"Now I'm not sure that this shampoo is any better than any other conditioning shampoo, but I do absolutely love the floral scent it gives off. It's not chemical-smelling or anything- just kind of pleasant.My hair seems pretty clean and shiny too- so really what more could you ask for?"	"smells great!"	"good"
"I didn't see any of the amazing benefits everyone else claims to have seen. Granted I don't have wrinkles or fine lines yet, but I did hope it would help with some of the acne marks I had, but it did not. Plus, it left my skin super oily up to two days after use. Of course each person's skin will react differently, but this didn't really work for my skin. It may work for you?Greetings from beautiful Armenia. :)"	"Left my skin oily"	"neutral"
"Difficult to remove, flakes off during the day, and my eyelashes started falling out...the absolute worst mascara I have ever used!"	"The worst!"	"bad"
"I received this product in exchange for a review on my blog.The serum helped add extra moisture to my skin, but it did not replace my moisturizer. While I haven't used it enough to say that it helped reduce the fine lines on my face, it did help keep my complexion clear. I also feel as if the skin on my face looked brighter.You can read my full review here: [...]"	"It works as expected"	"good"
"I like the lighter fragrances of this new Dove line of hair care products, but this root lift spray doesn't seem to do all that much for my hair. Regular mouse works better. I do however like their newDove Hair Styling Oxygen Moisture Leave In Foam, which gives my hair body, a bit of lift and just a touch of texture to help it hold it's style. I've tired this root lift spray on my hair when it's wet and dry, and I just don't get much of any results from it. Not enough that I would get another bottle. But the Dove Leave In Foam, that stuff is great."	"Great fragrance but minimal lift"	"neutral"
"I waste money on this when I was 16 and it smelled too mature for me.I got compliment from mostly older women so ended up giving it away to my friends mom."	"PEE Yoou!"	"bad"
"I am really impressed by this straightener, especially at it's present price point.  It seems well made and its wet/dry feature makes it nicer than some other products.  Our family owns several straighteners, including several other Remington products.  With a family of six, which includes four females, these get frequent use.The package includes the S7230 straightener and a user pamphlet.  The straightener has a 6 foot long cord with a swivel base.The S7230 has a 2\" plate surface.  The plates are ceraminc and are infused with soy. These are supposed to condition the hair and last the lifetime of the plates.  I don't know that I've ever seen any difference from any \"infused\" plate versus an untreated ceramic plate.  What I do know is that this straightener works very nicely.  The edge around the plates have vents which allow the moisture from your wet hair to vaporize and rise out of the vent holes atop the straightener.Temperature is set by a rotary dial.  You use lower temperatures for dry hair, higher for wet)  It has a range of 30 temperature settings.  It has an on/off indicator light, and the LED on it changes from amber (heat settings 1 thru 19, for dry hair) or green (settings 20 to 30 for wet hair.  Heating is quick.  The straightener will reach its top temperature (425 degrees) in a minute.The S7230 is adequate as a dry straightener.  It is on wet hair that the product excels.  My daughters all have long hair, have a ritual of washing and conditioning, followed by blow drying and straightening.  However, with the S7230, they find they can skip the blow drying in almost all cases.  The straightener heats and straightens their hair, while releasing enough moisture through the steam vents, that their hair dries nicely at the same time. Their hair comes out shiny, smooth and just as they like it.  You could, of couse, attempt the same with a non-vented straightener.  Your hair would dry but I don't know that it would come out as nice.This product is very reasonably priced and simple in its execution.  Remington (Spectrum Brands) backs it with a 2 year warranty and a 30 day money back guarantee!NOTE: I have used Spectrum's customer service when a prior product (not this model) stopped working while under warranty.  I did not have a receipt as proof of purchase, but they still honored the warranty, validating it with the date code printed on the product.  For just the cost of the return shipping (a few dollars), they took back the non-working straightener and shipped a brand new one in about a week.Based on the performance, price and the company standing behind its products, I highly recommend this straightener!  If you want to minimize or eliminate the step of blow drying long hair on which you also use a straightener, the S7230 does the trick."	"Let Me Tell You Straight!"	"good"
"My boyfriend normally uses Head and Shoulders for dandruff control and after 4 weeks of use found Clear just a good however Clear left his hair feeling just a little bit greasy after use. His theory is that it maybe it has too much conditioner but the product is just shampoo not a two-in-one product.Also as others noted the shampoo arrived with evidence that it had been leaking. This would be a red flag if I had paid for the product.For the price this is listed at I would recommend Head and Shoulders over Clear."	"Not a good value"	"neutral"
"This order only gets 2 stars because I did not get the stamper pictured - which is what I wanted.  I specifically ordered the stamper shown because of the smaller size.  I already have a double sided stamper, but I sometimes find the length annoying to work with and wanted to try a small one.  That's the only reason I ordered this stamper.  What I received was another double stamper.  When I place an order with Amazon, I expect to get what is pictured - not what someone in a warehouse thinks I should get.  Not happy."	"Not what I ordered"	"bad"
"Love the smell and how soft it leave my curls.  Wish it didn't cost so much! Amazon has the best price!"	"REALLY MOISTURIZING!"	"good"
"I ordered this shampoo for my teen/preteen daughters to use.  They have long, thick, fine hair which tangles easily.  I always try to get shampoos for them that will leave their hair shiny and smooth, to help make brushing out easier.First of all, this shampoo does have a pleasant fragrance.  They both love that aspect.  It lathers nicely as well.  However, we are not happy with the other results...Both girls wash their hair every other day, which has never been an issue.  However, with this shampoo, their hair looks greasy the day after the last hair washing, as opposed to the greasy look being noticeable the second day.My younger daughter is having a more difficult time than usual brushing out her hair every time she washes.  This is causing her to use more conditioner, which is only worsening the greasy look issue.  She has also been complaining that her head is itchy - I didn't think much of it at first, but when I finally noticed and thought about it, I realized that the only thing she has changed in her regimen is this shampoo.So for us, it's back to the Dove shampoo that gives them the best results."	"Didn't work well for us"	"neutral"
"It tans you.... but if your can get past the scent of hmmmm, how should I describe it, chemical skin after it reacts with your skin?  The smell is strong and long lasting.  I showered and could still smell the chemical reaction.  Gross.  I will not buy again."	"stinks"	"bad"
"Great product and great price - you just can't go wrong with this. The shadow goes on smooth and lasts. There is no reason to buy an expensive product."	"excellent"	"good"
"I've used this product about halfway down, and I've found it to be nothing special. As an oil and a sort of primer product, it performs fine. But I've noticed no improvement in my hair breakage, and if you use just a little too much it looks way too oily. It does not weigh my hair down, but that's what I NEED it to do because I have poofy curly hair. Overall I am impressed with Organix products, but I won't be buying this one again."	"Nothing special"	"neutral"
"i have been using this & i don't see any different another wast of money i even use it with the tummy belt and nothing"	"not likeing it"	"bad"
"I was initially impressed with this moisturizer. I am a BzzAgent & received a full size product to try & review. I like the packaging & a little goes a long way & my skin felt softer and definitely more moisturized. Sometimes I get itchy, dry skin in the fall as the weather changes and I avoided that this year. However, my skin did break out instead. My skin is acne prone & it is hard to find a moisturizer that moisturizes without clogging my pores. I wish this line of products included an acne ingredient as well."	"Works well, softer skin"	"good"
"The Toni & Guy Sculpting Powder is an odd experience, indeed! I have never used a product like this before, I have thick, wavy/curly hair that is fine and fly-away. I hoped that trying a product like this might hold it down without weighing it down.The powder is so fine that it is tacky...like silky, salty--if that makes sense? It dulls my hair out a bit, that isn't a big deal since I have to add creams and balms (to keep away frizz and keep from having gigantic hair) that do the same.I think playing with the amount used is the trick. Each person has different ideas about what they want for a look and their hair will react differently to the product, as well. Don't use it once and give up, try it a few times and play with it--it's not a one-size-fits-all product. Just remember to use very little at a time and keep it close to the scalp."	"Odd Feeling"	"neutral"
"tried this product over and over, it's definitely difficult, or the directions are just no good. Once I got it to work I still think eyetape works better and is much easier."	"can't figure it out"	"bad"
"The color is nice, but a little different than expected. It applies nicely and lasts a good week even without a clear topcoat."	"A good buy"	"good"
"There is no smell on this, which I like but it's really thick and greasy. If you use too much, you feel it all day and it leaves your hair really oily. I would not buy again."	"Thick and oily"	"neutral"
"The scent of this product is disgusting, and it make my eyes burn and my skin rash. I only tried it because the OIL OF OLAY brand is reputed to be gentle and all natural. Due to the unpleasant experience, I cannot recommend this product."	"Not Impressed"	"bad"
"I wore this as a girl and although that has been decades ago, Chantilly's timeless femininity still resonates. Since I'm a huge fan of sweet fragrances, this certainly fits that bill. But it also has a hint of spice, so like me, it's never TOO sweet. I don't wear this when I dress to go out, but rather after a shower when I'm lounging or working at home. Several well-placed spritzes and I smell like a dream all day long."	"Brings back fond memories"	"good"
"Here is my brief review:Scent - Perfume like, a bit too sweet in my opinion, I prefer \"cleaner\" scent, like soap etcTexture - OK, on the oily/heavy sideGrains - good! more than in other similar productsResults - to be honest, except for me feeling cleaner, I never really see results from these products.Hope you'll find this helpful :)"	"Good amount of grains, OK on the rest"	"neutral"
"I'll be honest; my problem with this product could be my fault. But I doubt it. I have fair skin and, generally, nearly invisible ash medium blonde/gray brows. I usually color them with light warm brown or dark warm blonde hair color. Or I ask my hairstylist to do it. So I thought it would be fun to try this product and it gets good reviews, for the most part. I followed instructions for using the light brown. My brows are now a Groucho-black-dark, dark, dark (did I mention &#34;dark&#34;?) chocolate-tar-brown. So I'm sitting here, on my bathroom floor, writing this review on my ipad--my little take on this hair dye. This dye could darken tree bark, people. For some of you lovely ones who can use that kind of concentration to color your brows, I am happy for you. You'll be fine, just use caution also. For those who meet my description, do not buy this product in Light Brown, or, better yet, at all.Also,  I know this is wasteful, but buy a well-reviewed hair dye kit like L'Oreal or Clairol, use what you need, and dispose of the rest. In my experience, those are a lot more dependable. And go light. You can always go darker or even carefully apply more once you've removed your first application. And, depending on your face cleanser's ingredients, it will last just about as long as this product."	"NOPE!"	"bad"
"Cheap, PERFECT foundation. I just apply a little on blemishes and then take a very little amount of powder over all my face and it gives the most naturally perfect look! I love this and will repurchase. No doubt."	"Perfection"	"good"
"I was very pleased with the moisturizing qualities of this product.  It absorbed quickly, and did not leave any feelings of stickiness.  When I applied it at bedtime my skin still felt, soft, hydrated in the morning.However, the scent which at first seemed innocuous enough really isn't.  It's a fragrance that stays with you, and when the lotion is applied all over the body it can be overwhelming.I've tried using it just as a hand lotion and then going outside to work in the yard.  Even after a few hours of my hands being in less than fragrant dirt the Sheer Infusion scent remains.  Now, that's fine if I'm not going anywhere.  But, if I shower and then apply this lotion before going out in the evening that will be the scent - no use trying to wear my favorite cologne.So, because I like the hydrating quality I'll continue to use this as a hand lotion but would not apply it before going out, and probably would not purchase it for a second time use."	"A GOOD ENOUGH MOISTURIZER, BUT......"	"neutral"
"No Formaldehyde until death...embalming fluid. This product is widely used in baby and children products. Another buckle by the GOV. &#34;Who will be the first to make an organic nail hardener.&#34;"	"Formaldehyde"	"bad"
"They are perfect for making 3-dimensional stamping designs. JUST be patient though, these take longer to dry than their other colors, which makes sense because they are thicker to make it 3-d. I have not seen any other nail polish products sold that have the colorful dimension that kleancolor has. They all are beautiful whether used alone or together with their other polishes for stamping. They turn different shades of their specific color ever time you move your hand or the light changes on them. It's like they all have little rainbows in their bottle. You really can't appreciate the colors by looking at pictures or the screen of a computer. It just does not do them justice.These are perfect for adults or teens but I don't think they would make a great present for anyone younger. Not because  there's anything wrong with the polish but because the user really needs to have more patience with these specifically.  The polishes are thicker and take more &#34;talent&#34; to paint your nails and it definitely requires more patience to wait until they are dry. If you want to get these amazing colors for your preteen or younger kleancolor has metallic and so many other sets of colors you can be sure they won't get bored with the same colors. All their sets have absolutely beautiful and brilliant colors that just can't be described. You will not be disappointed by the colors or how easily it spreads on your nails, how long the color lasts or how long your manicure lasts."	"absolutely loved these colors"	"good"
"This is good but STRONG!! It takes some getting used too. I was even grossed out, and practically passed out when I first smelled the bottle, but its grown on me over the last couple weeks and I wear it sometimes, (when Im home, dont wanna scare people, haha!!) its really, really strong. Like Amber(which I Love) and burnt Cedar. Has a very woodsy, smokey smell to it, and you can smell it for 3 days. A drop goes a looonngg way. Id say its authentic"	"Good but..."	"neutral"
"Okay I got this based on all the good reviews and now I feel some must be planted. I tried this thinking it would work like Swedish Beauty but it doesn't. It just doesn't compare and it does nothing, no tingle nothing ! DON'T WASTE YOUR MONEY.!!!"	"HORRIBLE DOES NOTHING ! DONT WASTE MONEY."	"bad"
"Works great and the consistency is very creamy so it glides on nicely! Made my pastel eye shadow shades stand out more so than my clear eye primers. And it's long wearing. It's at a great price! I do recommend for powder-based shadows only. (not ideal for cream and roll-on eyeshadows)"	"I got the white base"	"good"
"It does what it's suppose to do, which magnify - and it does it well. That said, the stability is a real issue. The cheap and narrow plastic holder makes the whole thing pretty inconvenient to use."	"Very unstable"	"neutral"
"I did not notice any difference in body acne after using this product for several months. I will keep looking to see if any other products can do the job."	"No results"	"bad"
"Fast delivery and excellent packaging.  Item as described. I love this product and will be purchasing this item again.  I also bought this for my daughter and she also loves it.  The smell is wonderful but not overpowering.  The only thing is that I wish it came in a larger economy size bottle.  Highly recommend!"	"Awesome body wash"	"good"
"They smell so good and feel so good. But were too rough for my skin. As soon as I stopped using them I had no problems. Back to Dove and Olay moisturizer. Don't mess with a good thing."	"Really wanted to like them."	"neutral"
"I was not that impressed with this product. I read that people had to take days off and not go in public because the skin flaking was so bad. I didn't have hardly any flaking. I followed the directions that were provided with the kit. It did help some acne that I had on my chin.I decided to do a second peel only this time follow some directions off you tube. I left the peel on for 3 hrs and washed with only water. I used only emu oil but only the day after I applied the peel. I had more skin flaking than the first time but again it was minimal.So I don't know if it is truly medical/professional grade peel. The peel has helped my face some but not like most reported. I'm going to finish the 6 peel cycle out of this bottle but I won't waste my time taking days off work to use this product."	"disappointed"	"bad"
"This is definitely my favorite as far a great color that can stand alone or as a top coat or in French manicure. The color is a very light opalescent pink. I great so many compliments. As a top cop it adds dimension and extra shimmer. In French manicure it's a very beautiful pink."	"My Favorite!!"	"good"
"It's ok as I thought it's better qualify but quite disappointed when it was purely plastic. No need to watch you tube as I already figured out how to used it."	"CuppingSet"	"neutral"
"My nails are always constantly chipping and peeling. They're just not strong enough, so I'm always searching for and trying anything that will help them grow and be strong. I tried the Sally Hansen Hard as Wraps nail treatment and although my results weren't great they were not horrible either.My nails did appear stronger when I first applied this product which is why I'm not complaining. The problem lies with the coat just peeling off in one big sheet. It only lasted about 2 days. Even if I try applying it every day or every other day it still peels right off. Which leaves me right back to where I left off. Once the top layer peels off my nails feel weak and in need of another top coat.That being said for the two days it's not bad. I just wish it would last longer and not try to peel off so easily."	"Not amazing."	"bad"
"If you have been using the Tresemme 7 Day Keratin Smooth Treatment, this conditioner is an absolute must and not just for the time during treatment. I have continued to use it everyday now as my regular conditoner. It's gentle,. has less sulfates than other brands and leaves my hair soft and shiny! I use it along with the & Day Keratin Smooth shampoo, even when I'm not using the treatment. I love it!"	"A must for users of the 7 day keratin treatment"	"good"
"I love this hair clip. It is so pretty  and just the right size. Not to big and not to small. The stones are really shiny. After wearing it today I received so many  compliments. I am adding on to my original review since sadly after wearing this pretty hair clip a few times I went to put it in my hair today and the back of the clip broke off and is now unusable. If you are really careful with it and not try to put to much hair into the clip it probably will not break. It is very pretty"	"Very Pretty"	"neutral"
"Don't like these and my real brows look better than the out come of the stencil shape. I wanted to have a natural arch shaped brow and these make your brows look really long with a short arch at the end.. WEIRD.. Don't like and I won't even give these to my mom cause she would just look silly. The pic online is not what they look like when you stencil them on,there's no thin line part at the end it's a little bit thinner than the front bigger part and it looks horrible.. DON'T buy"	"HORRIBLE stencils they are to long and weird shaped"	"bad"
"Smells very potent so a small pinch in the bath tub goes a long way... I find a smell smoothing and relaxing, but if you dislike lavender, I recommend that you stay away from this product since it smells more lavender than camomile."	"Small amt goes a long way..."	"good"
"The original Translucent extra coverage is a must have classic.  Goes on smooth, lasts all day even in humidity (we're talking 100 degrees and 98% humidity).  Just amazing.  I read some reviews saying the luminous is great for highlighter; sadly, no.  Guess I'm old; in my day you did not want to look shiny... That's the point of powder, to stop the shiny, oily, sweaty look.  And at my age, you certainly do not want to look sparkly either (reeks of &#34;trying to be young&#34;).  I was hoping for a more pearl-like finish, but it is definitely unfortunately sparkles.  You may not notice indoors, but in sunlight, it is like little micro glitter everywhere."	"Five stars for the original; not 4 Luminous"	"neutral"
"I was told that this could be used as a dry shampoo. This should not be used for that as it does not leave your hair feeling clean or looking clean. It is strictly to texturize flat hair."	"Oribe Dry Texturizing Spray"	"bad"
"I haven't tried wet, but It came the way I expected.The product was in perfect condition, everything they told it would come with was there.Now I just need to try, and make my curls =D"	"Good"	"good"
"Case is 10\" long x 6.5\" wide x 3.5\" deep.  Product comes with 1 case, 32 eyeshadows, 4 lipsticks, 4 nail vanishes, 2 blushers, 1 big blush brush, 1 mini blush brush, 1 eyebrow brush, 1 mirror box, 3 applicators, 1 double-ended lip pencil, and 1 double-ended eye pencil.  (Colors may vary, e.g., we did not get the rose red nail vanish like in Amazon's picture.)Here's what wrong with it.  The eye and lip pencils do not go on very dark, and so do the lipsticks.  The blush brushes aren't soft and thick and therefore do not pick up and apply blush well.  Eyeshadows also go on light and do not blend well.  The eyebrow brush is useless.  Mirror box and pencil tips were broken when being removed from elastic bands because elastic bands tightly hold both ends of the double-ended eye and lip pencils, etc., and case is small with little room to wiggle.Bought for niece, and the feedback from her was not a positive one.  What can I say?!  I never knew \"real\" makeup cost up to hundreds of dollars.  According to my dear niece, the only things that were \"useable\" were the applicators.  She gave everything else to her little sis to play makeup with.So, the lesson learned is this is good value if you plan to buy it for young or preteen girls to play with.  Buy the real deal for teenage or girls who use serious makeup, which makes sense because how can you look like a million bucks with a 19-dollar makeup set?!!"	"Not \"serious\" makeup"	"neutral"
